Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission
2,0,3,1,3,0,0,97,1,357,3,7,4,39,23,0,2409
2,0,0,3,3,2,1,244,2,8725,2,7,10,46,1,0,7159
2,0,1,0,1,0,0,108,2,1753,1,5,13,16,2,1,2670
2,1,2,0,3,1,0,106,2,45,2,1,19,44,16,2,2321
0,0,0,1,2,0,0,103,1,292,0,5,14,25,11,0,1574
2,1,1,3,2,0,2,220,2,1739,1,6,20,0,20,1,2471
3,0,2,3,0,1,0,287,3,2,0,6,14,27,23,2,2541
2,1,2,0,3,1,2,123,2,38,1,3,0,21,19,1,2298
2,0,3,3,0,0,0,259,1,970,2,1,18,31,15,2,1445
2,0,0,1,1,2,2,172,0,8616,3,7,12,2,16,0,4240
0,0,3,1,2,0,0,227,2,635,0,3,4,42,11,1,2650
1,1,2,1,2,2,2,161,0,2914,1,1,3,13,23,2,1033
0,0,3,2,0,1,0,146,1,92,0,3,21,26,15,2,990
1,1,0,1,0,1,1,151,0,67,2,6,13,6,7,1,937
2,1,3,0,0,2,2,244,3,6972,1,5,3,23,23,2,3483
3,1,3,1,1,2,0,193,2,9812,2,3,5,31,17,2,6515
1,0,2,3,3,0,2,255,2,1057,0,7,8,27,18,2,2929
1,0,3,0,3,2,1,125,1,3295,2,1,11,34,11,2,2377
0,1,2,2,2,1,2,52,3,97,0,1,7,9,10,2,1252
1,1,2,1,3,2,0,252,1,9705,3,6,9,8,23,2,1874
0,1,0,3,1,2,2,69,1,3105,0,6,8,38,2,0,1579
2,0,2,2,1,1,2,139,0,6,3,1,23,2,11,0,974
2,0,1,2,0,1,1,242,2,34,0,2,15,42,8,1,2607
0,0,3,1,1,0,1,224,3,1328,2,2,24,28,22,2,2054
1,0,2,3,2,0,1,242,0,779,0,7,7,16,12,0,1662
2,1,0,0,1,0,0,193,1,913,3,4,5,29,1,1,1463
2,1,3,2,3,2,0,79,1,5464,0,1,19,45,14,2,1143
0,0,3,0,3,2,0,222,0,3912,1,6,7,41,20,0,2790
2,1,2,2,1,1,2,271,1,89,3,7,5,46,20,0,2629
2,1,2,0,3,2,0,193,3,4359,1,5,15,9,5,2,2338
2,1,3,0,2,2,0,156,1,7873,2,7,21,44,6,2,3984
1,0,3,2,1,0,0,168,1,374,0,2,20,34,3,0,1253
3,1,1,3,1,0,2,175,1,1218,1,1,10,17,19,2,1480
2,1,2,3,1,1,1,212,1,1,1,1,4,38,9,2,1556
2,0,2,0,1,0,0,101,0,638,1,7,8,36,1,1,1847
1,1,2,1,1,2,2,296,1,8641,1,4,19,3,20,0,2778
1,0,2,2,2,1,0,66,0,46,0,5,14,50,14,2,1828
2,1,1,3,3,2,0,210,1,2871,2,1,15,35,0,1,1684
3,1,2,0,2,0,2,189,2,978,3,1,15,46,24,1,3503
1,1,2,1,1,0,1,225,2,1585,1,1,12,36,1,2,2540
0,1,0,2,3,1,2,139,0,92,3,2,11,21,1,0,838
1,1,1,3,2,2,1,217,2,4197,1,4,17,28,8,2,3559
1,1,0,2,0,0,1,275,3,199,1,4,15,2,16,2,1237
1,1,2,2,2,0,0,81,3,732,1,4,1,6,1,0,1406
0,0,0,0,1,0,0,270,3,584,1,6,5,4,15,0,1812
0,0,3,0,1,0,2,219,2,476,2,4,17,26,10,0,2784
3,1,2,1,0,0,0,207,2,1507,3,4,24,2,15,0,2554
0,0,1,1,3,2,0,131,1,6915,0,5,0,28,5,0,1203
0,1,0,3,2,0,2,56,1,133,2,4,11,8,5,2,1167
1,0,1,2,2,1,0,184,1,9,1,1,13,30,3,1,1279
2,1,0,0,0,1,1,250,0,34,0,6,5,6,22,2,842
1,0,1,2,2,2,1,85,2,9359,2,2,19,32,10,1,2654
0,1,3,2,1,1,0,126,0,62,3,1,13,27,4,0,830
0,0,0,2,1,0,2,297,1,1681,2,3,2,24,19,2,1624
0,0,1,1,2,1,0,210,0,93,1,3,16,50,7,1,1439
0,0,2,3,2,1,1,245,2,56,0,1,11,43,13,2,2904
2,1,3,3,2,2,1,293,2,3509,1,7,9,33,14,0,4103
2,1,1,2,3,1,0,173,1,37,0,2,15,34,10,2,1060
0,0,2,2,2,2,1,123,2,6731,0,2,7,19,12,1,4203
0,1,1,0,2,0,0,75,1,1388,0,1,19,5,6,0,856
1,0,1,3,0,2,2,256,3,159,3,7,4,33,16,2,2433
1,0,1,0,2,2,2,73,0,7976,3,5,5,15,0,2,4483
3,0,2,2,0,0,1,273,0,1032,0,7,7,13,18,1,1661
0,0,0,0,2,0,1,129,1,1351,1,6,5,13,7,2,1484
2,1,1,3,1,0,1,65,2,436,0,2,9,46,23,1,2955
1,1,0,3,3,2,2,231,1,4595,1,4,16,41,10,1,2590
0,0,1,3,3,0,1,271,0,770,0,4,0,37,1,0,1166
3,1,2,3,1,0,2,137,1,1632,2,2,13,23,20,2,1742
3,1,3,3,1,0,0,54,1,69,3,5,0,15,17,0,1628
3,0,3,2,0,0,1,219,0,1876,2,4,14,37,14,2,2090
1,0,0,0,2,0,2,68,0,158,1,3,5,38,7,0,1327
3,1,2,0,2,0,0,289,3,838,3,6,18,5,6,1,2673
2,0,1,2,0,2,2,76,1,2723,2,7,6,28,17,2,2664
0,1,0,1,0,0,0,67,3,593,1,2,11,26,17,0,1239
1,1,0,0,3,2,2,296,0,4910,3,5,5,40,22,0,2991
2,1,2,1,1,1,0,244,1,61,1,7,0,19,9,0,1688
1,1,2,0,2,1,1,105,1,54,0,2,7,49,6,1,1563
2,0,3,0,1,2,1,275,1,4425,1,2,11,13,23,0,3127
3,0,2,2,2,1,0,83,2,85,2,6,0,41,22,1,4095
2,1,1,2,2,2,2,162,1,7434,1,6,14,14,5,1,2486
3,0,2,3,0,2,0,209,3,7258,2,1,9,27,18,2,5082
3,0,0,1,3,1,0,76,0,7,3,5,2,39,22,1,2160
3,0,1,0,2,1,2,72,3,74,0,3,2,19,5,2,2091
1,0,0,1,0,1,2,282,0,37,3,5,14,30,22,2,1696
2,0,0,2,2,2,2,298,0,1170,0,1,15,1,22,1,1009
0,0,2,1,3,2,0,170,0,6890,0,2,15,39,11,1,2134
3,0,0,3,2,0,2,234,1,506,0,4,12,43,0,1,2047
1,0,2,2,1,1,1,282,0,99,2,6,10,28,14,0,2190
2,1,1,0,1,2,0,215,0,1695,0,6,22,31,24,1,1177
2,1,3,1,0,2,0,175,3,5671,0,4,16,45,14,1,1814
0,1,2,0,0,2,1,190,0,8553,1,6,6,44,19,1,1284
0,0,3,2,2,0,1,73,1,1418,2,7,15,6,12,1,1839
0,1,3,1,0,0,0,214,1,382,2,3,10,24,18,0,1026
0,1,2,1,1,2,1,127,0,5005,2,6,20,37,6,1,2600
1,1,1,1,0,1,1,62,2,77,3,4,3,33,10,2,2189
0,0,1,0,0,0,2,199,1,194,2,2,17,45,5,0,1500
0,0,1,2,3,0,0,256,3,1446,0,6,16,25,5,0,1685
1,1,0,0,2,1,2,223,3,58,1,6,13,26,7,0,1914
2,1,0,3,1,2,0,185,1,7570,3,2,14,48,13,2,2845
0,1,0,0,1,2,1,125,1,8298,2,2,4,12,12,0,2152
2,1,3,2,2,2,1,294,2,3216,0,1,5,20,21,0,2577
3,1,2,1,2,2,1,187,1,9945,1,3,1,9,13,1,4220
0,0,3,3,1,0,1,155,0,499,2,6,17,5,2,1,1199
0,1,0,2,3,0,1,277,3,1426,2,3,4,13,16,0,1552
3,0,2,1,2,2,0,296,2,95,0,5,9,15,11,1,3294
3,1,0,0,2,2,1,213,2,1467,0,6,7,28,1,0,3243
1,1,3,1,2,0,1,269,0,1172,3,2,7,44,20,2,1675
1,1,1,1,0,0,1,86,1,1212,0,7,6,24,3,2,1304
0,0,2,1,0,1,1,228,2,99,2,6,13,24,18,2,2878
0,0,3,1,0,2,0,243,0,2787,2,2,21,16,14,1,1126
0,0,2,1,1,1,2,276,1,7,2,3,10,28,12,0,1489
1,0,2,2,0,2,1,292,3,3347,1,4,24,40,0,1,1954
0,1,0,0,0,0,0,282,3,1475,2,7,0,31,9,0,1957
3,1,3,3,1,0,1,74,2,1873,3,7,9,36,23,2,3778
0,1,0,1,1,0,0,208,2,1661,3,2,24,29,10,1,2069
1,0,2,3,2,0,0,260,3,774,2,2,6,34,24,2,2421
1,0,0,2,0,0,1,294,2,1043,1,2,5,42,15,2,2801
3,1,3,1,0,2,1,52,3,9006,0,4,19,46,23,0,5547
3,0,0,0,1,1,0,229,3,15,3,2,22,22,12,2,2343
3,0,1,2,1,0,1,291,0,1199,3,5,0,21,15,2,2232
3,1,1,3,2,1,0,184,3,20,2,2,12,34,9,2,2309
0,0,0,2,3,2,2,131,1,4058,3,3,11,14,17,2,2233
0,0,0,3,3,1,0,288,3,95,0,4,20,8,7,1,1419
2,0,2,3,2,1,0,192,3,71,1,5,20,3,13,1,2087
2,1,1,2,0,0,2,175,2,1603,2,5,6,44,22,2,2829
2,1,3,0,1,0,1,64,2,1595,2,2,16,49,4,0,3057
2,0,0,1,2,1,1,62,3,92,2,4,10,9,1,0,2337
1,1,1,0,1,1,2,56,3,80,1,3,19,50,5,2,1651
3,0,1,1,0,1,2,209,3,21,2,3,7,31,6,0,2214
0,1,2,3,0,1,1,136,3,31,1,3,6,15,19,2,1402
0,0,3,1,3,1,1,284,2,3,0,2,7,12,12,0,2317
3,0,1,1,2,2,2,276,0,2698,1,1,9,50,4,1,2027
1,1,3,3,1,2,1,209,0,1580,2,5,2,19,19,0,1543
2,1,2,3,3,2,0,86,1,5541,0,3,24,0,17,0,2522
3,1,2,2,0,2,2,238,1,7014,2,2,1,10,8,0,3996
1,0,2,2,2,0,2,79,2,1122,1,5,10,5,19,1,2673
3,0,0,3,2,2,2,200,0,1644,0,3,3,27,11,1,2235
1,1,1,1,1,0,0,214,1,1854,2,3,16,29,9,1,1378
0,0,3,0,1,1,1,59,2,72,3,6,4,39,7,1,2939
3,0,0,2,0,2,2,235,2,4383,0,2,9,6,21,0,4311
2,1,3,2,2,1,0,50,3,69,1,7,11,28,24,0,2107
0,1,2,1,1,2,2,122,0,5954,3,4,14,11,21,2,3419
1,0,1,3,3,2,1,218,1,9258,0,4,12,20,20,1,3713
3,0,0,0,1,2,0,156,3,2041,2,1,17,0,18,0,1484
0,0,2,2,2,2,2,289,0,2033,3,7,1,40,1,0,2517
2,1,1,1,3,0,0,168,3,1958,1,7,19,9,9,2,1890
2,0,1,2,2,1,2,242,3,58,2,5,10,38,2,0,3071
0,0,0,3,2,1,0,73,3,92,3,4,15,32,8,2,2073
0,1,1,1,2,1,0,145,2,93,3,1,9,43,0,1,2233
0,1,2,1,3,2,1,214,0,7926,3,5,19,7,16,2,1644
3,0,2,0,0,0,0,117,2,1988,1,7,15,10,9,2,2957
2,0,1,0,1,0,2,118,3,757,3,4,6,25,9,2,2278
0,1,2,2,2,2,1,292,1,8497,0,6,22,23,4,0,2813
2,1,3,2,3,1,0,162,3,62,0,4,3,42,6,2,1983
0,1,0,0,3,2,0,209,1,5323,3,3,16,3,24,0,2779
2,0,1,2,0,1,1,222,2,17,1,5,22,17,1,1,2212
3,0,0,1,1,0,0,181,2,5,0,2,7,16,14,1,2910
0,1,3,0,2,0,2,74,1,1997,0,1,20,24,3,1,1051
2,0,0,2,1,2,2,120,3,7153,3,7,6,17,16,0,5044
1,0,2,2,1,0,2,163,0,1301,3,2,23,33,8,1,1595
0,0,0,1,2,2,2,264,3,2864,3,7,24,47,19,0,3745
3,0,0,3,2,2,0,252,1,6029,1,3,20,33,15,0,3084
0,0,3,0,3,2,2,68,3,825,3,7,17,21,4,1,2280
3,0,3,1,2,0,0,177,2,660,1,6,12,22,11,1,3669
1,1,3,3,3,0,2,94,2,967,0,2,17,6,2,1,1724
2,0,2,2,0,0,0,247,1,1111,0,3,0,34,11,0,1695
2,0,0,2,0,0,2,144,2,884,0,4,7,19,16,2,2423
